InvoiceNo,CustomerID,Country,StockCode,Description,Quantity,UnitPrice,Revenue,Year,Month
580367,,United Kingdom,85168B,BLACK BAROQUE CARRIAGE CLOCK,1,8.29,8.29,2011,12
570026,12781.0,Czech Republic,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,24,2.55,61.199999999999996,2011,10
564856,12477.0,Germany,22304,COFFEE MUG BLUE PAISLEY DESIGN,6,2.55,15.299999999999999,2011,8
565617,,United Kingdom,23200,JUMBO BAG PEARS,2,4.13,8.26,2011,9
580937,16143.0,United Kingdom,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2.95,17.700000000000003,2011,12
577410,14664.0,United Kingdom,23200,JUMBO BAG PEARS,2,2.08,4.16,2011,11
581219,,United Kingdom,23417,BATHROOM HOOK,1,3.29,3.29,2011,12
554097,12567.0,France,22382,LUNCH BAG SPACEBOY DESIGN ,10,1.65,16.5,2011,5
539492,,United Kingdom,22726,ALARM CLOCK BAKELIKE GREEN,1,7.62,7.62,2010,12
554494,16327.0,United Kingdom,15056BL,EDWARDIAN PARASOL BLACK,1,5.95,5.95,2011,5
552005,15491.0,United Kingdom,84946,ANTIQUE SILVER T-LIGHT GLASS,12,1.25,15.0,2011,5
566290,14456.0,United Kingdom,21932,SCANDINAVIAN PAISLEY PICNIC BAG,2,1.65,3.3,2011,9
546502,16005.0,United Kingdom,22514,CHILDS GARDEN SPADE BLUE,1,2.1,2.1,2011,3
542605,17796.0,United Kingdom,22587,FELTCRAFT HAIRBAND RED AND BLUE,1,0.85,0.85,2011,1
580610,,United Kingdom,22731,3D CHRISTMAS STAMPS STICKERS ,1,1.63,1.63,2011,12
557846,17365.0,United Kingdom,20992,JAZZ HEARTS PURSE NOTEBOOK,1,0.39,0.39,2011,6
540021,17841.0,United Kingdom,85099B,JUMBO BAG RED RETROSPOT,4,1.95,7.8,2011,1
566757,,United Kingdom,21990,MODERN FLORAL STATIONERY SET,2,2.46,4.92,2011,9
575739,,United Kingdom,23425,STORAGE TIN HOME SWEET HOME,4,4.96,19.84,2011,11
570226,16931.0,United Kingdom,46000S,POLYESTER FILLER PAD 40x40cm,3,1.45,4.35,2011,10
546751,13668.0,United Kingdom,21504,SKULLS GREETING CARD,12,0.42,5.04,2011,3
577743,17006.0,United Kingdom,23101,SILVER STARS TABLE DECORATION,12,0.83,9.959999999999999,2011,11
581233,13436.0,United Kingdom,23176,ABC TREASURE BOOK BOX ,8,2.25,18.0,2011,12
573601,,United Kingdom,48185,DOORMAT FAIRY CAKE,1,14.13,14.13,2011,10
569479,13408.0,United Kingdom,23295,SET OF 12 MINI LOAF BAKING CASES,24,0.83,19.919999999999998,2011,10
549155,,United Kingdom,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,1,8.29,8.29,2011,4
550327,12878.0,United Kingdom,21669,BLUE STRIPE CERAMIC DRAWER KNOB,24,1.25,30.0,2011,4
541094,13246.0,United Kingdom,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,6,0.85,5.1,2011,1
559689,,United Kingdom,22493,PAINT YOUR OWN CANVAS SET,2,1.65,3.3,2011,7
559679,15265.0,United Kingdom,23161,REGENCY CAKE FORK,12,1.25,15.0,2011,7
540022,17188.0,United Kingdom,85054,FRENCH ENAMEL POT W LID,12,1.25,15.0,2011,1
548533,13883.0,United Kingdom,22207,FRYING PAN UNION FLAG,12,4.25,51.0,2011,3
542109,,United Kingdom,21240,BLUE POLKADOT CUP,2,1.63,3.26,2011,1
541244,15535.0,United Kingdom,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,1,2.1,2.1,2011,1
538625,14544.0,United Kingdom,22418,10 COLOUR SPACEBOY PEN,12,0.85,10.2,2010,12
548192,17364.0,United Kingdom,22991,GIRAFFE WOODEN RULER,4,1.95,7.8,2011,3
561894,14456.0,United Kingdom,22507,MEMO BOARD RETROSPOT  DESIGN,1,4.95,4.95,2011,7
576837,,United Kingdom,23493,VINTAGE DOILY TRAVEL SEWING KIT,1,3.29,3.29,2011,11
554083,18125.0,United Kingdom,22271,FELTCRAFT DOLL ROSIE,1,2.95,2.95,2011,5
578757,12748.0,United Kingdom,22155,STAR DECORATION RUSTIC,1,0.42,0.42,2011,11
574949,14360.0,United Kingdom,23475,WOODLAND SMALL PINK FELT HEART,12,0.83,9.959999999999999,2011,11
555933,12567.0,France,20979,36 PENCILS TUBE RED RETROSPOT,16,1.25,20.0,2011,6
567099,15311.0,United Kingdom,85014B,RED RETROSPOT UMBRELLA,1,5.95,5.95,2011,9
540995,,United Kingdom,21051,RIBBONS PURSE ,3,1.63,4.89,2011,1
578270,14096.0,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,1,24.96,24.96,2011,11
556504,13936.0,United Kingdom,85049C,ROMANTIC PINKS RIBBONS ,12,1.25,15.0,2011,6
573632,15329.0,United Kingdom,23110,PARISIENNE KEY CABINET ,2,5.75,11.5,2011,10
580983,,United Kingdom,21918,SET 12 KIDS COLOUR  CHALK STICKS,1,0.83,0.83,2011,12
570688,,United Kingdom,22026,BANQUET BIRTHDAY  CARD  ,1,0.83,0.83,2011,10
580730,,United Kingdom,22978,PANTRY ROLLING PIN,1,7.46,7.46,2011,12
556501,16700.0,United Kingdom,23209,LUNCH BAG DOILEY PATTERN ,20,1.65,33.0,2011,6
572065,12556.0,Spain,21349,IVY HEART WREATH,1,6.75,6.75,2011,10
560244,16931.0,United Kingdom,22210,WOOD STAMP SET BEST WISHES,1,0.83,0.83,2011,7
543293,17613.0,United Kingdom,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,0.85,10.2,2011,2
554991,14823.0,United Kingdom,22621,TRADITIONAL KNITTING NANCY,1,1.65,1.65,2011,5
541422,,United Kingdom,21221,SET/4 BADGES CUTE CREATURES,2,0.83,1.66,2011,1
538510,18004.0,United Kingdom,22154,ANGEL DECORATION 3 BUTTONS ,2,0.42,0.84,2010,12
545901,15834.0,United Kingdom,85199L,LARGE HANGING IVORY & RED WOOD BIRD,4,0.65,2.6,2011,3
558315,15065.0,United Kingdom,21731,RED TOADSTOOL LED NIGHT LIGHT,12,1.65,19.799999999999997,2011,6
568134,,United Kingdom,23173,REGENCY TEAPOT ROSES ,2,19.96,39.92,2011,9
541417,16033.0,United Kingdom,21717,EASTER TIN BUCKET,2,2.55,5.1,2011,1
570703,14911.0,EIRE,21912,VINTAGE SNAKES & LADDERS,4,3.75,15.0,2011,10
580983,,United Kingdom,47563A,RETRO LONGBOARD IRONING BOARD COVER,1,3.29,3.29,2011,12
561869,16764.0,United Kingdom,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,4,1.25,5.0,2011,7
562838,13162.0,United Kingdom,23298,SPOTTY BUNTING,3,4.95,14.850000000000001,2011,8
550208,,United Kingdom,22664,TOY TIDY DOLLY GIRL DESIGN,1,4.13,4.13,2011,4
548522,,United Kingdom,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,5.79,5.79,2011,3
570496,16422.0,United Kingdom,21648,ASSORTED TUTTI FRUTTI SMALL PURSE,24,1.25,30.0,2011,10
564818,,United Kingdom,22129,PARTY CONES CANDY DECORATION,3,2.46,7.38,2011,8
547649,18118.0,United Kingdom,15056BL,EDWARDIAN PARASOL BLACK,2,5.95,11.9,2011,3
555923,,United Kingdom,21210,SET OF 72 RETROSPOT PAPER  DOILIES,1,2.92,2.92,2011,6
552013,12451.0,Switzerland,23007, SPACEBOY BABY GIFT SET,3,16.95,50.849999999999994,2011,5
572037,17365.0,United Kingdom,85049E,SCANDINAVIAN REDS RIBBONS,8,1.25,10.0,2011,10
563023,14639.0,United Kingdom,22423,REGENCY CAKESTAND 3 TIER,1,12.75,12.75,2011,8
561218,,United Kingdom,84913A,SOFT PINK ROSE TOWEL ,1,3.29,3.29,2011,7
568701,13924.0,United Kingdom,22588,CARD HOLDER GINGHAM HEART,6,2.89,17.34,2011,9
552281,15704.0,United Kingdom,21984,PACK OF 12 PINK PAISLEY TISSUES ,24,0.29,6.959999999999999,2011,5
576217,17081.0,United Kingdom,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,2,2.55,5.1,2011,11
559160,17293.0,United Kingdom,23035,DRAWER KNOB CERAMIC IVORY,6,1.45,8.7,2011,7
578045,17297.0,United Kingdom,23461,SWEETHEART BIRD HOUSE,1,4.15,4.15,2011,11
552945,15953.0,United Kingdom,85231G,ORANGE SCENTED SET/9 T-LIGHTS,24,0.85,20.4,2011,5
580279,15123.0,United Kingdom,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,18,2.95,53.1,2011,12
550953,,United Kingdom,21162,TOXIC AREA  DOOR HANGER ,1,3.29,3.29,2011,4
542923,14665.0,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.95,17.700000000000003,2011,2
545764,13408.0,United Kingdom,21622,VINTAGE UNION JACK CUSHION COVER,2,4.95,9.9,2011,3
565847,,United Kingdom,82494l,WOODEN FRAME ANTIQUE WHITE ,3,8.29,24.869999999999997,2011,9
548562,,Israel,21260,FIRST AID TIN,6,3.25,19.5,2011,4
569229,14502.0,United Kingdom,22161,HEART DECORATION RUSTIC HANGING ,4,0.19,0.76,2011,10
559493,,United Kingdom,21820,GLITTER HEART GARLAND WITH BELLS ,1,7.46,7.46,2011,7
563022,17248.0,United Kingdom,21787,RAIN PONCHO RETROSPOT,48,0.85,40.8,2011,8
563745,15159.0,United Kingdom,47504K,ENGLISH ROSE GARDEN SECATEURS,12,0.79,9.48,2011,8
569700,,United Kingdom,23624,SET 10 CARD PERFECT NATIVITY 17089,1,2.49,2.49,2011,10
543824,14631.0,United Kingdom,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,3.75,15.0,2011,2
556685,14503.0,United Kingdom,85054,FRENCH ENAMEL POT W LID,6,2.95,17.700000000000003,2011,6
546104,14527.0,United Kingdom,82484,WOOD BLACK BOARD ANT WHITE FINISH,2,7.9,15.8,2011,3
559909,18245.0,United Kingdom,22819,"BIRTHDAY CARD, RETRO SPOT",12,0.42,5.04,2011,7
552674,,United Kingdom,22502,PICNIC BASKET WICKER SMALL,2,8.29,16.58,2011,5
559338,,United Kingdom,37479P,CUBIC MUG FLOCK PINK ON BROWN,6,0.97,5.82,2011,7
558632,17930.0,United Kingdom,23121,PACK OF 6 COCKTAIL PARASOL STRAWS,24,0.42,10.08,2011,6
568194,16008.0,United Kingdom,22386,JUMBO BAG PINK POLKADOT,10,2.08,20.8,2011,9
545081,16057.0,United Kingdom,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,3.95,15.8,2011,2
561585,13728.0,United Kingdom,48187,DOORMAT NEW ENGLAND,2,7.95,15.9,2011,7
545587,14796.0,United Kingdom,22059,CERAMIC STRAWBERRY DESIGN MUG,9,1.49,13.41,2011,3
541516,,United Kingdom,22937,BAKING MOULD CHOCOLATE CUPCAKES,1,4.96,4.96,2011,1
581217,,United Kingdom,23575,SNACK TRAY PAISLEY PARK,1,4.13,4.13,2011,12
573582,16633.0,United Kingdom,22178,VICTORIAN GLASS HANGING T-LIGHT,18,1.95,35.1,2011,10
579503,17097.0,Spain,22698,PINK REGENCY TEACUP AND SAUCER,2,2.95,5.9,2011,11
578065,,United Kingdom,22815,CARD PSYCHEDELIC APPLES,9,0.42,3.78,2011,11
547386,,United Kingdom,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,1,2.46,2.46,2011,3
552045,18241.0,United Kingdom,22550,HOLIDAY FUN LUDO,4,3.75,15.0,2011,5
571737,14367.0,United Kingdom,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,2.08,20.8,2011,10
550638,,United Kingdom,22229,BUNNY WOODEN PAINTED WITH FLOWER ,1,1.63,1.63,2011,4
541280,15296.0,United Kingdom,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,1.25,30.0,2011,1
556102,13115.0,United Kingdom,21058,PARTY INVITES WOODLAND,12,0.85,10.2,2011,6
580520,13521.0,United Kingdom,22549,PICTURE DOMINOES,1,1.45,1.45,2011,12
571914,14776.0,United Kingdom,21975,PACK OF 60 DINOSAUR CAKE CASES,24,0.55,13.200000000000001,2011,10
577150,,United Kingdom,84997b,CHILDRENS CUTLERY RETROSPOT RED ,16,8.29,132.64,2011,11
552550,13881.0,United Kingdom,82582,AREA PATROLLED METAL SIGN,72,1.85,133.20000000000002,2011,5
552277,13642.0,United Kingdom,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,1.25,1.25,2011,5
562711,16788.0,United Kingdom,22697,GREEN REGENCY TEACUP AND SAUCER,2,2.95,5.9,2011,8
555397,,United Kingdom,84946,ANTIQUE SILVER T-LIGHT GLASS,3,2.46,7.38,2011,6
569847,14116.0,United Kingdom,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,2.1,12.600000000000001,2011,10
581251,18210.0,United Kingdom,22193,RED DINER WALL CLOCK,2,8.5,17.0,2011,12
561626,14898.0,United Kingdom,22673,FRENCH GARDEN SIGN BLUE METAL,4,1.25,5.0,2011,7
540838,13862.0,United Kingdom,85059,FRENCH ENAMEL WATER BASIN,8,1.25,10.0,2011,1
554376,15719.0,United Kingdom,21174,POTTERING IN THE SHED METAL SIGN,2,2.08,4.16,2011,5
552229,,United Kingdom,21743,STAR PORTABLE TABLE LIGHT ,1,5.79,5.79,2011,5
579174,13266.0,United Kingdom,23286,BLUE VINTAGE SPOT BEAKER,8,0.85,6.8,2011,11
549524,,United Kingdom,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,4
540482,14672.0,United Kingdom,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,0.65,10.4,2011,1
562523,16174.0,United Kingdom,47566,PARTY BUNTING,8,4.95,39.6,2011,8
541839,17769.0,United Kingdom,22627,MINT KITCHEN SCALES,1,8.5,8.5,2011,1
546917,14911.0,EIRE,22282,12 EGG HOUSE PAINTED WOOD,2,12.75,25.5,2011,3
543660,,United Kingdom,85131A,BEADED PEARL HEART WHITE ON STICK,1,0.83,0.83,2011,2
554938,12876.0,Belgium,20723,STRAWBERRY CHARLOTTE BAG,20,0.85,17.0,2011,5
554098,14769.0,United Kingdom,22315,200 RED + WHITE BENDY STRAWS,2,1.25,2.5,2011,5
545166,17027.0,United Kingdom,22442,GROW YOUR OWN FLOWERS SET OF 3,1,7.95,7.95,2011,2
538184,17880.0,United Kingdom,22544,MINI JIGSAW SPACEBOY,24,0.42,10.08,2010,12
561118,15781.0,United Kingdom,85066,CREAM SWEETHEART MINI CHEST,2,12.75,25.5,2011,7
549130,14701.0,United Kingdom,21467,CHERRY CROCHET FOOD COVER,1,3.75,3.75,2011,4
576200,15572.0,United Kingdom,22562,MONSTERS STENCIL CRAFT,2,1.25,2.5,2011,11
575629,12599.0,France,20676,RED RETROSPOT BOWL,8,1.25,10.0,2011,11
541253,17841.0,United Kingdom,21781,MA CAMPAGNE CUTLERY BOX,1,14.95,14.95,2011,1
558232,17841.0,United Kingdom,22474,SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,6
557846,17365.0,United Kingdom,23128,FELTCRAFT BOY JEAN-PAUL KIT,2,4.95,9.9,2011,6
577258,16764.0,United Kingdom,23323,WHITE WICKER STAR ,1,2.1,2.1,2011,11
541593,17611.0,United Kingdom,22798,ANTIQUE GLASS DRESSING TABLE POT,2,2.95,5.9,2011,1
547896,17841.0,United Kingdom,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1,0.85,0.85,2011,3
553718,,United Kingdom,20723,STRAWBERRY CHARLOTTE BAG,1,1.63,1.63,2011,5
568329,15243.0,United Kingdom,21156,RETROSPOT CHILDRENS APRON,8,1.95,15.6,2011,9
566420,16360.0,United Kingdom,22993,SET OF 4 PANTRY JELLY MOULDS,3,1.25,3.75,2011,9
543470,16951.0,United Kingdom,16237,SLEEPING CAT ERASERS,30,0.21,6.3,2011,2
541274,15696.0,United Kingdom,22723,SET OF 6 HERB TINS SKETCHBOOK,4,3.95,15.8,2011,1
561391,16628.0,United Kingdom,48194,DOORMAT HEARTS,2,7.95,15.9,2011,7
540980,14514.0,United Kingdom,21485,RETROSPOT HEART HOT WATER BOTTLE,3,4.95,14.850000000000001,2011,1
552295,14224.0,United Kingdom,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2.95,2.95,2011,5
578017,13569.0,United Kingdom,22629,SPACEBOY LUNCH BOX ,1,1.95,1.95,2011,11
575739,,United Kingdom,22992,REVOLVER WOODEN RULER ,1,4.13,4.13,2011,11
555721,15108.0,European Community,POST,POSTAGE,3,15.0,45.0,2011,6
539586,14298.0,United Kingdom,22609,PENS ASSORTED SPACEBALL,108,0.21,22.68,2010,12
569202,,United Kingdom,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,7.46,7.46,2011,9
540505,17095.0,United Kingdom,85034C,3 ROSE MORRIS BOXED CANDLES,12,1.25,15.0,2011,1
564190,16143.0,United Kingdom,23322,LARGE WHITE HEART OF WICKER,6,2.95,17.700000000000003,2011,8
560995,,United Kingdom,22440,BALLOON WATER BOMB PACK OF 35,2,0.42,0.84,2011,7
551534,14655.0,United Kingdom,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,0.95,11.399999999999999,2011,5
537434,,United Kingdom,22276,WASH BAG VINTAGE ROSE PAISLEY,2,5.91,11.82,2010,12
542146,13405.0,United Kingdom,21411,GINGHAM HEART  DOORSTOP RED,3,4.25,12.75,2011,1
570650,13263.0,United Kingdom,23207,LUNCH BAG ALPHABET DESIGN,1,1.65,1.65,2011,10
574699,13040.0,United Kingdom,23545,WRAP RED VINTAGE DOILY,25,0.42,10.5,2011,11
568049,17841.0,United Kingdom,22602,RETROSPOT WOODEN HEART DECORATION,8,0.85,6.8,2011,9
552231,17364.0,United Kingdom,47599A,PINK PARTY BAGS,11,2.1,23.1,2011,5
550389,17284.0,United Kingdom,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,2,0.85,1.7,2011,4
540821,,United Kingdom,21892,TRADITIONAL WOODEN CATCH CUP GAME ,1,2.51,2.51,2011,1
568364,16999.0,United Kingdom,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,4.95,14.850000000000001,2011,9
566603,,United Kingdom,90114,SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,9
549567,13632.0,United Kingdom,22766,PHOTO FRAME CORNICE,2,2.95,5.9,2011,4
566018,13137.0,United Kingdom,22294,HEART FILIGREE DOVE  SMALL,4,1.25,5.0,2011,9
545046,16598.0,United Kingdom,22021,BLUE FELT EASTER EGG BASKET,6,1.65,9.899999999999999,2011,2
572309,14432.0,United Kingdom,35953,FOLKART STAR CHRISTMAS DECORATIONS,11,0.39,4.29,2011,10
545415,15641.0,United Kingdom,22963,JAM JAR WITH GREEN LID,12,0.85,10.2,2011,3
578187,14336.0,United Kingdom,21822,GLITTER CHRISTMAS TREE WITH BELLS,12,0.79,9.48,2011,11
553009,13601.0,United Kingdom,23191,BUNDLE OF 3 RETRO NOTE BOOKS,2,1.65,3.3,2011,5
565316,15628.0,United Kingdom,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,0.55,13.200000000000001,2011,9
571061,,United Kingdom,22946,WOODEN ADVENT CALENDAR CREAM,7,16.63,116.41,2011,10
565396,,United Kingdom,22132,RED LOVE HEART SHAPE CUP,1,0.85,0.85,2011,9
574060,16531.0,United Kingdom,23480,MINI LIGHTS WOODLAND MUSHROOMS,4,3.75,15.0,2011,11
536544,,United Kingdom,22961,JAM MAKING SET PRINTED,9,3.36,30.24,2010,12
556115,15241.0,United Kingdom,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,4.95,19.8,2011,6
563369,13394.0,United Kingdom,22301,COFFEE MUG CAT + BIRD DESIGN,36,2.1,75.60000000000001,2011,8
547485,17019.0,United Kingdom,22383,LUNCH BAG SUKI DESIGN ,3,1.65,4.949999999999999,2011,3
560018,15987.0,United Kingdom,21713,CITRONELLA CANDLE FLOWERPOT,1,2.1,2.1,2011,7
557595,15507.0,United Kingdom,22630,DOLLY GIRL LUNCH BOX,2,1.95,3.9,2011,6
572312,15022.0,United Kingdom,23500,KEY RING BASEBALL BOOT ASSORTED ,20,1.25,25.0,2011,10
572047,16474.0,United Kingdom,23343,JUMBO BAG VINTAGE CHRISTMAS ,3,2.08,6.24,2011,10
545430,15636.0,United Kingdom,22670,FRENCH WC SIGN BLUE METAL,12,1.25,15.0,2011,3
565847,,United Kingdom,22877,NUMBER TILE COTTAGE GARDEN 9,1,4.13,4.13,2011,9
570672,12536.0,France,21219,SET/4 BADGES BALLOON GIRL,10,1.25,12.5,2011,10
558334,12599.0,France,21094,SET/6 RED SPOTTY PAPER PLATES,12,0.85,10.2,2011,6
574233,16929.0,United Kingdom,22138,BAKING SET 9 PIECE RETROSPOT ,3,4.95,14.850000000000001,2011,11
559464,15157.0,United Kingdom,21158,MOODY GIRL DOOR HANGER ,24,0.39,9.36,2011,7
547644,14267.0,United Kingdom,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,4.95,29.700000000000003,2011,3
563952,15572.0,United Kingdom,22385,JUMBO BAG SPACEBOY DESIGN,1,2.08,2.08,2011,8
579267,14961.0,United Kingdom,23247,BISCUIT TIN 50'S CHRISTMAS,12,2.89,34.68,2011,11
545559,15005.0,United Kingdom,22138,BAKING SET 9 PIECE RETROSPOT ,1,4.95,4.95,2011,3
551858,18041.0,United Kingdom,21156,RETROSPOT CHILDRENS APRON,6,1.95,11.7,2011,5
569903,13892.0,United Kingdom,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,1.25,30.0,2011,10
570225,16595.0,United Kingdom,23439,HAND WARMER RED LOVE HEART,3,2.1,6.300000000000001,2011,10
553544,,United Kingdom,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,15,4.13,61.949999999999996,2011,5
541789,14088.0,United Kingdom,22776,SWEETHEART CAKESTAND 3 TIER,11,8.5,93.5,2011,1
539988,18116.0,United Kingdom,20679,EDWARDIAN PARASOL RED,2,5.95,11.9,2010,12
573585,,United Kingdom,23157,SET OF 6 NATIVITY MAGNETS ,2,4.13,8.26,2011,10
580536,12490.0,France,22966,GINGERBREAD MAN COOKIE CUTTER,12,1.25,15.0,2011,12
543660,,United Kingdom,21329,DINOSAURS  WRITING SET ,1,3.29,3.29,2011,2
575896,12480.0,Germany,23247,BISCUIT TIN 50'S CHRISTMAS,6,2.89,17.34,2011,11
546365,12520.0,Germany,22027,TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,3
572294,13471.0,United Kingdom,20685,DOORMAT RED RETROSPOT,2,8.25,16.5,2011,10
539738,,United Kingdom,48116,DOORMAT MULTICOLOUR STRIPE,1,14.43,14.43,2010,12
549562,13232.0,United Kingdom,22413,METAL SIGN TAKE IT OR LEAVE IT ,1,2.95,2.95,2011,4
547892,12669.0,France,22551,PLASTERS IN TIN SPACEBOY,12,1.65,19.799999999999997,2011,3
559017,14034.0,United Kingdom,22855,FINE WICKER HEART ,12,1.25,15.0,2011,7
544930,17472.0,United Kingdom,22723,SET OF 6 HERB TINS SKETCHBOOK,1,3.95,3.95,2011,2
542221,14978.0,United Kingdom,22090,PAPER BUNTING RETROSPOT,4,2.95,11.8,2011,1
565919,,United Kingdom,23088,ZINC HEART FLOWER T-LIGHT HOLDER,2,2.46,4.92,2011,9
548659,13418.0,United Kingdom,23049,RECYCLED ACAPULCO MAT RED,2,8.25,16.5,2011,4
566290,14456.0,United Kingdom,21500,PINK POLKADOT WRAP ,25,0.42,10.5,2011,9
553393,,United Kingdom,84687,BEACH HUT SHELF W 3 DRAWERS,1,11.63,11.63,2011,5
575017,17219.0,United Kingdom,21592,RETROSPOT CIGAR BOX MATCHES ,2,1.25,2.5,2011,11
542399,15549.0,United Kingdom,22555,PLASTERS IN TIN STRONGMAN,16,1.65,26.4,2011,1
552674,,United Kingdom,22135,MINI LADLE LOVE HEART PINK,1,0.83,0.83,2011,5
570983,14963.0,United Kingdom,22201,FRYING PAN BLUE POLKADOT,1,4.25,4.25,2011,10
549927,16684.0,United Kingdom,16156S,WRAP PINK FAIRY CAKES ,400,0.34,136.0,2011,4
555644,16520.0,United Kingdom,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2.08,2.08,2011,6
565853,13756.0,United Kingdom,22865,HAND WARMER OWL DESIGN,12,2.1,25.200000000000003,2011,9
546899,14298.0,United Kingdom,21929,JUMBO BAG PINK VINTAGE PAISLEY,30,1.65,49.5,2011,3
540954,14606.0,United Kingdom,21201,TROPICAL  HONEYCOMB PAPER GARLAND ,1,2.55,2.55,2011,1
560590,12560.0,Germany,22302,COFFEE MUG PEARS  DESIGN,6,2.55,15.299999999999999,2011,7
575930,,United Kingdom,23289,DOLLY GIRL CHILDRENS BOWL,2,2.46,4.92,2011,11
546778,14572.0,United Kingdom,22090,PAPER BUNTING RETROSPOT,2,2.95,5.9,2011,3
550278,,United Kingdom,84997d,CHILDRENS CUTLERY POLKADOT PINK,4,8.29,33.16,2011,4
561923,14112.0,United Kingdom,84997B,CHILDRENS CUTLERY RETROSPOT RED ,8,4.15,33.2,2011,8
553174,16206.0,United Kingdom,84378,SET OF 3 HEART COOKIE CUTTERS,2,1.25,2.5,2011,5
576065,15005.0,United Kingdom,23202,JUMBO BAG VINTAGE LEAF,2,2.08,4.16,2011,11
544597,16014.0,United Kingdom,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,3.75,3.75,2011,2
541244,15535.0,United Kingdom,72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2,2.1,4.2,2011,1
573415,13607.0,United Kingdom,23333,IVORY WICKER HEART MEDIUM,7,1.25,8.75,2011,10
566221,,United Kingdom,22494,EMERGENCY FIRST AID TIN ,1,2.46,2.46,2011,9
572550,,United Kingdom,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,1,4.13,4.13,2011,10
554825,16843.0,United Kingdom,22620,4 TRADITIONAL SPINNING TOPS,12,1.45,17.4,2011,5
578995,15861.0,United Kingdom,20675,BLUE POLKADOT BOWL,2,1.25,2.5,2011,11
559311,14459.0,United Kingdom,21933,PINK VINTAGE PAISLEY PICNIC BAG,20,2.95,59.0,2011,7
551531,15376.0,United Kingdom,84356,POMPOM CURTAIN,2,6.95,13.9,2011,5
554359,13590.0,United Kingdom,23168,CLASSIC CAFE SUGAR DISPENSER,12,1.25,15.0,2011,5
544201,,United Kingdom,22179,SET 10 LIGHTS NIGHT OWL,1,13.29,13.29,2011,2
568205,18066.0,United Kingdom,21888,BINGO SET,4,3.75,15.0,2011,9
573585,,United Kingdom,23154,SET OF 4 JAM JAR MAGNETS,1,4.13,4.13,2011,10
556459,,United Kingdom,21098,CHRISTMAS TOILET ROLL,1,2.46,2.46,2011,6
559163,,United Kingdom,35924,HANGING FAIRY CAKE DECORATION,1,1.63,1.63,2011,7
565617,,United Kingdom,22129,PARTY CONES CANDY DECORATION,4,2.46,9.84,2011,9
544681,,United Kingdom,21892,TRADITIONAL WOODEN CATCH CUP GAME ,2,2.46,4.92,2011,2
540977,,United Kingdom,85103,SILVER T-LIGHT SETTING,2,5.91,11.82,2011,1
561533,16672.0,United Kingdom,22729,ALARM CLOCK BAKELIKE ORANGE,24,3.75,90.0,2011,7
540468,,United Kingdom,90114,SUMMER DAISIES BAG CHARM,1,2.51,2.51,2011,1
571549,13536.0,United Kingdom,72818,CHRISTMAS DECOUPAGE CANDLE,72,0.39,28.080000000000002,2011,10
542541,,United Kingdom,21368,MIRRORED WALL ART LADIES,1,4.96,4.96,2011,1
553585,15301.0,United Kingdom,22712,CARD DOLLY GIRL ,12,0.42,5.04,2011,5
547906,14410.0,United Kingdom,16235,RECYCLED PENCIL WITH RABBIT ERASER,9,0.21,1.89,2011,3
